VDOT    L       M       T400    T100    I400    I1000   I1200   I1600   R200    R400    R800
69.5 	3:55 	3:25 	78.2 	3:15 	71.7 	2:59 	3:35 	4:47 	32.8 	65.7 	2:11
70.0 	3:54 	3:24 	77.7 	3:14 	71.2 	2:58 	3:34 	4:45 	32.6 	65.2 	2:10
70.5 	3:53 	3:22 	77.3 	3:13 	70.8 	2:57 	3:33 	4:43 	32.4 	64.8 	2:10
71.0 	3:51 	3:21 	76.8 	3:12 	70.4 	2:56 	3:31 	4:42 	32.2 	64.4 	2:09
71.5 	3:50 	3:20 	76.4 	3:11 	70.0 	2:55 	3:30 	4:40 	32.0 	64.0 	2:08
72.0 	3:49 	3:19 	76.0 	3:10 	69.6 	2:54 	3:29 	4:39 	31.8 	63.6 	2:07
72.5 	3:47 	3:18 	75.5 	3:09 	69.3 	2:53 	3:28 	4:37 	31.6 	63.3 	2:07
73.0 	3:46 	3:16 	75.1 	3:08 	68.9 	2:52 	3:27 	4:35 	31.4 	62.9 	2:06
73.5 	3:45 	3:15 	74.7 	3:07 	68.5 	2:51 	3:25 	4:34 	31.2 	62.5 	2:05
74.0 	3:44 	3:14 	74.3 	3:06 	68.1 	2:50 	3:24 	4:32 	31.1 	62.1 	2:04
74.5 	3:42 	3:13 	73.9 	3:05 	67.8 	2:49 	3:23 	4:31 	30.9 	61.8 	2:04
75.0 	3:41 	3:12 	73.5 	3:04 	67.4 	2:48 	3:22 	4:30 	30.7 	61.4 	2:03
75.5 	3:40 	3:11 	73.1 	3:03 	67.0 	2:48 	3:21 	4:28 	30.5 	61.0 	2:02
76.0 	3:39 	3:10 	72.7 	3:02 	66.7 	2:47 	3:20 	4:27 	30.3 	60.7 	2:01
76.5 	3:38 	3:09 	72.3 	3:01 	66.3 	2:46 	3:19 	4:25 	30.2 	60.3 	2:01
77.0 	3:36 	3:08 	72.0 	3:00 	66.0 	2:45 	3:18 	4:24 	30.0 	60.0 	2:00
77.5 	3:35 	3:07 	71.6 	2:59 	65.6 	2:44 	3:17 	4:23 	29.8 	59.6 	1:59
78.0 	3:34 	3:06 	71.2 	2:58 	65.3 	2:43 	3:16 	4:21 	29.6 	59.3 	1:59
78.5 	3:33 	3:05 	70.8 	2:57 	65.0 	2:42 	3:15 	4:20 	29.5 	59.0 	1:58
79.0 	3:32 	3:04 	70.5 	2:56 	64.6 	2:42 	3:14 	4:19 	29.3 	58.6 	1:57
79.5 	3:31 	3:03 	70.1 	2:55 	64.3 	2:41 	3:13 	4:17 	29.2 	58.3 	1:57
80.0 	3:30 	3:02 	69.8 	2:54 	64.0 	2:40 	3:12 	4:16 	29.0 	58.0 	1:56
80.5 	3:29 	3:01 	69.4 	2:54 	63.7 	2:39 	3:11 	4:15 	28.8 	57.7 	1:55
81.0 	3:28 	3:00 	69.1 	2:53 	63.3 	2:38 	3:10 	4:13 	28.7 	57.3 	1:55
81.5 	3:27 	2:59 	68.7 	2:52 	63.0 	2:38 	3:09 	4:12 	28.5 	57.0 	1:54
82.0 	3:26 	2:58 	68.4 	2:51 	62.7 	2:37 	3:08 	4:11 	28.4 	56.7 	1:53
82.5 	3:25 	2:57 	68.1 	2:50 	62.4 	2:36 	3:07 	4:10 	28.2 	56.4 	1:53
83.0 	3:24 	2:56 	67.7 	2:49 	62.1 	2:35 	3:06 	4:08 	28.1 	56.1 	1:52
83.5 	3:23 	2:55 	67.4 	2:49 	61.8 	2:35 	3:05 	4:07 	27.9 	55.8 	1:52
84.0 	3:22 	2:54 	67.1 	2:48 	61.5 	2:34 	3:05 	4:06 	27.8 	55.5 	1:51
84.5 	3:21 	2:53 	66.8 	2:47 	61.2 	2:33 	3:04 	4:05 	27.6 	55.2 	1:50
85.0 	3:20 	2:52 	66.4 	2:46 	60.9 	2:32 	3:03 	4:04 	27.5 	54.9 	1:50
